NID_ID,STATE,DAM_NAME,OTHER_NAME,HAZARD,EAP,STATE_NAME,COUNTY,NEAR_CITY,DIST_CITY,RIVER,YEAR_COMPL,OWNER,OWN_TYPE,INSP_DATE
OH02362,OH,"LAKE ROYAL DAM",NULL,SIGNIFICANT,NULL,OHIO,ROSS,CHILLICOTHE,13.6,"PAINT CREEK-OS",1975,"LEROY SHOEMAKER",PRIVATE,"1991-02-20 00:00:00"
OH02363,OH,"LAKE ROYCE DAM",NULL,LOW,NULL,OHIO,ROSS,"RICHMOND DALE",1.5,"TR-SALT CREEK",1960,"LAKE ROYCE CLUB ASSOCIATION",PRIVATE,"1995-03-28 00:00:00"
OH02365,OH,"LUEHRS LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,ROSS,BOURNEVILLE,6.5,"LOWER TWIN CREEK-OS",NULL,"GEROME M. LUEHRS",PRIVATE,"1995-04-21 00:00:00"
OH02366,OH,"MEAD PAPER SOLID WASTE DISPOSAL DAM",NULL,HIGH,NULL,OHIO,ROSS,OMEGA,NULL,"TR-WALNUT CREEK",1974,"MEAD PAPER CORPORATION",PRIVATE,NULL
OH02367,OH,"MEAD PAPER UPGROUND RESERVOIR",NULL,SIGNIFICANT,NULL,OHIO,ROSS,"THREE LOCKS",6.4,"PAINT CREEK-OS",NULL,"MEAD PAPER CORPORATION",PRIVATE,"1995-03-28 00:00:00"
OH02372,OH,"VALLEY VISTA GOLF COURSE LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,ROSS,BOURNEVILLE,NULL,"TR-PAINT CREEK",NULL,"MIKE & PAUL BOBB",PRIVATE,"1991-10-22 00:00:00"
OH02375,OH,"CHANDLER LAKE DAM",NULL,HIGH,NULL,OHIO,SCIOTO,"POOLS CORNERS",NULL,"TR-BLUE RUN",NULL,"JULIUS & GRACE CHANDLER",PRIVATE,"1990-03-27 00:00:00"
OH02376,OH,"KINSKEY LAKE DAM",NULL,HIGH,NULL,OHIO,SCIOTO,ROSEMOUNT,NULL,"TR-SCIOTO RIVER",1969,"TIMOTHY L MERSHON, JR.",PRIVATE,"1988-11-09 00:00:00"
OH02378,OH,"DEEMER LAKE DAM",NULL,HIGH,NULL,OHIO,SCIOTO,SLOCUM,NULL,"TR-WARDS RUN",1964,"FOREST DEEMER",PRIVATE,"1988-03-30 00:00:00"
OH02379,OH,"HANES LAKE DAM",NULL,HIGH,NULL,OHIO,SCIOTO,"SOUTH WEBSTER",NULL,"TR-HALES CREEK",NULL,"RONALD D. HANES",PRIVATE,"1990-03-27 00:00:00"
OH02380,OH,"LAKE EMMA DAM",NULL,LOW,NULL,OHIO,SCIOTO,CRABTREE,2.3,"TR-EAST BR MCCULLOUGH CREEK",1987,"JACK CONLEY",PRIVATE,"1995-03-13 00:00:00"
OH02381,OH,"MCBRIDE LAKE DAM",NULL,SIGNIFICANT,NO,OHIO,SCIOTO,GARRISON,8,"MCBRIDE RUN",NULL,"ODNR, DIV. OF FORESTRY",STATE,"1988-11-10 00:00:00"
OH02382,OH,"CANDY LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,SCIOTO,"SOUTH WEBSTER",NULL,"TR-HALES CREEK",1965,"JOHN K. MCHENRY",PRIVATE,"1991-04-23 00:00:00"
OH02383,OH,"MULLINS LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,SCIOTO,"SAND HILL",NULL,"TR-LICK RUN",NULL,"ELMER C. & JUDY L. MULLINS",PRIVATE,"1991-03-27 00:00:00"
OH02384,OH,"NORTHWEST SCHOOLS LAKE DAM",NULL,HIGH,NULL,OHIO,SCIOTO,ARION,NULL,"TR-E BRANCH MCCULLOUGH CREEK",1958,"NORTHWEST LOCAL SCHOOLS","LOCAL GOV'T","1990-03-27 00:00:00"
OH02385,OH,"POND LICK LAKE DAM","SHAWNEE LAKE",HIGH,NULL,OHIO,SCIOTO,FRIENDSHIP,NULL,"POND LICK RUN",1938,"ODNR, DIV. OF FORESTRY",STATE,"1983-12-17 00:00:00"
OH02387,OH,"SCIOTO COUNTY SLUDGE LAGOON",NULL,SIGNIFICANT,NULL,OHIO,SCIOTO,LUCASVILLE,NULL,"TR-CANDY RUN",1980,"SCIOTO COUNTY REGIONAL WATER DIST. 1","LOCAL GOV'T","1995-03-13 00:00:00"
OH02390,OH,"WOLFDEN LAKE DAM",NULL,HIGH,NO,OHIO,SCIOTO,FRIENDSHIP,8.5,"WOLFDEN RUN",1936,"ODNR, DIV. OF FORESTRY",STATE,"1988-11-10 00:00:00"
OH02392,OH,"ST. JOHN'S DAM",NULL,LOW,NULL,OHIO,SENECA,TIFFIN,NULL,"SANDUSKY RIVER",NULL,"OHIO-AMERICAN WATER COMPANY","PUBLIC UTILITY",NULL
OH02393,OH,"WELTER LAKE DAM",NULL,LOW,N/R,OHIO,SENECA,TIFFIN,NULL,"TR-SANDUSKY RIVER",1968,"ROGER WELTER",PRIVATE,NULL
OH02398,OH,"FAWN LAKE DAM",NULL,LOW,NULL,OHIO,SHELBY,LOCKINGTON,NULL,"TR-MILL CREEK",1985,"FAWN LAKE ASSOCIATION",PRIVATE,"1989-09-15 00:00:00"
OH02401,OH,"LEIGHTY LAKE DAM",NULL,LOW,NULL,OHIO,SHELBY,DAWSON,4.3,"MIAMI AND ERIE CANAL",1840,"ODNR, DIVISION OF WATER",STATE,"1985-04-02 00:00:00"
